Kуd ADM;Kуd obce;Nбzev obce;Kуd MOMC;Nбzev MOMC;Kуd obvodu Prahy;Nбzev obvodu Prahy;Kуd ибsti obce;Nбzev ибsti obce;Kуd ulice;Nбzev ulice;Typ SO;»нslo domovnн;»нslo orientaиnн;Znak инsla orientaиnнho;PS»;Souшadnice Y;Souшadnice X;Platн Od
9919309;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;172;;;69111;580156.65;1189147.37;2013-12-06T00:00:00
9919317;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;173;;;69111;580148.87;1189282.30;2013-12-06T00:00:00
9919325;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;174;;;69111;579723.42;1188376.16;2013-12-06T00:00:00
9919333;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;175;;;69111;580052.38;1187917.70;2013-12-06T00:00:00
9919341;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;176;;;69111;579746.91;1188720.83;2013-12-06T00:00:00
9919350;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;177;;;69111;580169.93;1189273.01;2013-12-06T00:00:00
9919376;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;179;;;69111;579835.16;1188406.57;2013-12-06T00:00:00
9919384;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;180;;;69111;579748.82;1188490.51;2013-12-06T00:00:00
9919392;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;181;;;69111;579977.27;1188245.08;2013-12-06T00:00:00
9919406;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;182;;;69111;580061.98;1189420.05;2013-12-06T00:00:00
9919414;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;183;;;69111;579767.23;1188649.22;2013-12-06T00:00:00
9919422;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;184;;;69111;579757.12;1188653.27;2013-12-06T00:00:00
9919431;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;185;;;69111;580136.19;1189286.82;2013-12-06T00:00:00
9919449;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;186;;;69111;580191.07;1189249.41;2013-12-06T00:00:00
9919457;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;187;;;69111;580142.42;1188866.96;2013-12-06T00:00:00
9919465;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;188;;;69111;580178.05;1189346.94;2013-12-06T00:00:00
9919473;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;189;;;69111;579971.76;1188496.26;2019-01-23T00:00:00
9919481;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;190;;;69111;580020.95;1188409.36;2013-12-06T00:00:00
9919490;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;191;;;69111;580066.00;1188322.76;2013-12-06T00:00:00
9919503;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;192;;;69111;580189.56;1189300.00;2013-12-06T00:00:00
9919511;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;193;;;69111;579734.80;1188658.94;2013-12-06T00:00:00
9919520;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;194;;;69111;579749.47;1188371.69;2013-12-06T00:00:00
9919538;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;195;;;69111;579737.05;1188637.75;2013-12-06T00:00:00
9919546;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;196;;;69111;579946.51;1189300.49;2013-12-06T00:00:00
9919554;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;197;;;69111;580162.34;1189124.03;2013-12-06T00:00:00
9919562;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;198;;;69111;580202.43;1189292.17;2013-12-06T00:00:00
9919589;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;200;;;69111;580142.83;1189036.40;2013-12-06T00:00:00
9919597;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;201;;;69111;579975.99;1189400.15;2013-12-06T00:00:00
9919601;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;202;;;69111;580181.78;1189323.88;2018-07-30T00:00:00
9919619;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;203;;;69111;580059.76;1188890.92;2013-12-06T00:00:00
9919627;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;204;;;69111;579766.57;1188716.67;2013-12-06T00:00:00
9919635;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;205;;;69111;579725.47;1188685.93;2013-12-06T00:00:00
9919643;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;206;;;69111;579749.71;1188655.11;2013-12-06T00:00:00
9919651;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;207;;;69111;579989.81;1189252.70;2013-12-06T00:00:00
9919660;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;208;;;69111;580072.13;1189320.17;2013-12-06T00:00:00
9919678;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;209;;;69111;580086.52;1189307.61;2013-12-06T00:00:00
9919686;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;210;;;69111;580129.50;1189052.03;2013-12-06T00:00:00
9919694;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;211;;;69111;579735.42;1188472.28;2013-12-06T00:00:00
9919708;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;212;;;69111;579780.08;1188449.25;2013-12-06T00:00:00
9919716;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;213;;;69111;579763.89;1188554.00;2013-12-06T00:00:00
9919724;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;214;;;69111;580129.74;1189130.63;2013-12-06T00:00:00
9919732;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;215;;;69111;580150.37;1189188.01;2013-12-06T00:00:00
9919741;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;217;;;69111;580165.60;1189029.18;2013-12-06T00:00:00
9919759;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;218;;;69111;580124.38;1188807.44;2013-12-06T00:00:00
9919783;584363;Brumovice;;;;;13099;Brumovice;;;и.p.;221;;;69111;580041.31;1187789.10;2013-12-06T00:00:00
