KÛd ADM;KÛd obce;N·zev obce;KÛd MOMC;N·zev MOMC;KÛd obvodu Prahy;N·zev obvodu Prahy;KÛd Ë·sti obce;N·zev Ë·sti obce;KÛd ulice;N·zev ulice;Typ SO;»Ìslo domovnÌ;»Ìslo orientaËnÌ;Znak ËÌsla orientaËnÌho;PS»;Sou¯adnice Y;Sou¯adnice X;PlatÌ Od
26363216;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;102;;;26203;750700.43;1076419.30;2013-12-02T00:00:00
26363224;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;105;;;26203;750227.00;1076469.00;2013-12-02T00:00:00
26363232;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;107;;;26203;750586.61;1076601.42;2013-12-02T00:00:00
26363241;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;108;;;26203;750627.73;1076693.30;2013-12-02T00:00:00
26363259;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;109;;;26203;750431.06;1076562.03;2013-12-02T00:00:00
26363267;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;110;;;26203;750563.18;1076338.05;2013-12-02T00:00:00
26725592;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;95;;;26203;750995.48;1076952.40;2013-12-02T00:00:00
27057542;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;111;;;26203;750412.00;1076499.00;2013-12-02T00:00:00
27057551;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;112;;;26203;751077.00;1076889.00;2013-12-02T00:00:00
27057569;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;113;;;26203;750323.36;1076298.32;2013-12-02T00:00:00
27057577;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;114;;;26203;750446.22;1076457.90;2013-12-02T00:00:00
27057585;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;115;;;26203;750452.71;1076510.71;2013-12-02T00:00:00
27227006;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;246;;;26203;748897.25;1076228.00;2013-12-02T00:00:00
27227014;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;274;;;26203;751318.00;1077595.00;2013-12-02T00:00:00
27227022;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;265;;;26203;748361.00;1076290.00;2013-12-02T00:00:00
27227049;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;282;;;26203;751375.60;1077604.16;2013-12-02T00:00:00
27227057;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;288;;;26203;751339.94;1077572.25;2013-12-02T00:00:00
27309878;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;289;;;26203;751344.00;1077579.00;2014-02-10T00:00:00
27309886;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;292;;;26203;751343.19;1077621.50;2013-12-02T00:00:00
27309894;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;301;;;26203;748296.69;1077126.75;2013-12-02T00:00:00
27309908;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;303;;;26203;748549.00;1076034.00;2013-12-02T00:00:00
27688372;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;120;;;26203;750795.00;1076658.00;2013-12-02T00:00:00
27688381;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;119;;;26203;750434.45;1076503.69;2013-12-02T00:00:00
27688399;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;118;;;26203;750263.24;1076277.08;2013-12-02T00:00:00
27688402;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;117;;;26203;750389.53;1076264.19;2013-12-02T00:00:00
27688411;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;116;;;26203;750314.01;1076254.49;2013-12-02T00:00:00
27835618;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;121;;;26203;750267.14;1076249.65;2013-12-02T00:00:00
27835626;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;122;;;26203;750394.40;1076312.11;2014-03-27T00:00:00
27835634;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;123;;;26203;750294.00;1076290.00;2013-12-02T00:00:00
27835642;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;124;;;26203;750466.94;1076554.90;2014-03-27T00:00:00
27835651;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;125;;;26203;750282.05;1076248.52;2014-03-27T00:00:00
27835669;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;126;;;26203;750244.05;1076318.29;2013-12-02T00:00:00
30705231;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;94;;;26203;751032.66;1076695.15;2013-12-02T00:00:00
30705240;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;239;;;26203;748446.58;1077107.63;2013-12-02T00:00:00
30705258;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;279;;;26203;751375.73;1077634.11;2013-12-02T00:00:00
30705266;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;280;;;26203;751380.00;1077621.00;2013-12-02T00:00:00
30705274;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;283;;;26203;751378.00;1077589.00;2013-12-02T00:00:00
30705282;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;304;;;26203;749353.00;1076150.00;2013-12-02T00:00:00
30705291;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;306;;;26203;748535.00;1076217.00;2013-12-02T00:00:00
30705304;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;307;;;26203;748380.00;1076121.00;2013-12-02T00:00:00
30705312;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;308;;;26203;751263.00;1077599.00;2013-12-02T00:00:00
30705321;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;309;;;26203;751307.68;1077723.43;2013-12-02T00:00:00
30705339;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;310;;;26203;748850.67;1076439.23;2013-12-02T00:00:00
30705347;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;311;;;26203;748783.33;1076471.17;2013-12-02T00:00:00
30705355;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;312;;;26203;748910.66;1076017.32;2013-12-02T00:00:00
30705363;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;313;;;26203;748898.74;1076028.09;2013-12-02T00:00:00
30705371;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;314;;;26203;748593.66;1076198.08;2013-12-02T00:00:00
30705380;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;315;;;26203;748612.59;1076217.18;2013-12-02T00:00:00
31200591;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;83;;;26203;751300.50;1077742.37;2019-11-08T00:00:00
31200605;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;266;;;26203;751289.00;1077617.00;2013-12-02T00:00:00
31200613;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;271;;;26203;751286.00;1077530.00;2013-12-02T00:00:00
31200621;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;281;;;26203;751377.00;1077609.00;2013-12-02T00:00:00
31200630;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;293;;;26203;751345.00;1077630.00;2013-12-02T00:00:00
31200648;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;294;;;26203;751346.00;1077640.00;2013-12-02T00:00:00
31200656;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;296;;;26203;751335.00;1077651.00;2013-12-02T00:00:00
41165152;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;129;;;26203;748451.14;1076194.62;2013-12-02T00:00:00
41729552;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;127;;;26203;750335.79;1076257.28;2013-12-02T00:00:00
41735196;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;317;;;26203;750386.79;1076577.69;2013-12-02T00:00:00
42287626;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;72;;;26203;748390.33;1077022.89;2013-12-02T00:00:00
42292999;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;128;;;26203;750418.22;1076714.09;2013-12-02T00:00:00
72651911;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;302;;;26203;748305.94;1077140.33;2014-05-12T00:00:00
72692812;540081;»Ìm;;;;;23809;»Ìm;;;Ë.ev.;305;;;26203;748508.53;1076067.21;2014-05-26T00:00:00
72752165;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;132;;;26203;750631.04;1076441.77;2014-06-10T00:00:00
72932325;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;133;;;26203;750367.97;1076321.12;2014-07-24T00:00:00
73001724;540081;»Ìm;;;;;23809;»Ìm;;;Ë.p.;134;;;26203;750136.25;1076518.33;2014-08-22T00:00:00
